shortdate,Close,Diff,next_day_close,next_day_diff,next_day_plus_diff,plus_diff,comment_count,rocket,gem,clown,joy,hands,bear,gorilla,money_face,rofl,rainbow,flex,cry,think,smile,fire,eyes,upchart,pray,downchart,mbag,plead,corn,egg,drops,huff,FD,DD,YOLO,ATH,HODL,DFV,MOON,STONKS,TENDIES,GAYBEARS,BAGHOLDER,DIAMONDHANDS,PAPERHANDS,JPOW,DEGENERATES,BTD,BHSL,HTL,WLTS,ATS
2021-01-07,816.0399780273438,38.40997314453125,880.02001953125,24.02001953125,1,1,4144,146,9,53,39,2,15,0,9,10,17,3,12,7,10,2,4,6,11,0,8,7,0,7,5,4,19,9,27,13,0,0,37,8,25,6,2,3,9,0,1,10,1,1,0,0
2021-01-08,880.02001953125,24.02001953125,811.1900024414062,-38.21002197265625,0,1,7550,220,25,68,80,9,39,1,14,13,37,1,19,13,13,5,10,14,8,1,10,8,1,4,7,3,29,15,62,19,0,0,37,28,60,6,4,9,15,0,3,15,1,1,0,0
2021-01-11,811.1900024414062,-38.21002197265625,849.4400024414062,18.44000244140625,1,0,4954,200,27,30,41,4,50,0,7,17,43,2,17,12,9,3,5,13,9,3,4,7,0,1,4,3,12,17,35,5,0,0,43,11,25,9,6,9,10,0,0,26,0,3,0,0
2021-01-12,849.4400024414062,18.44000244140625,854.4099731445312,1.64996337890625,1,1,3506,185,21,26,22,11,36,0,2,4,30,2,3,7,9,4,5,2,16,0,3,9,0,2,4,4,10,9,20,18,0,0,23,8,31,2,2,2,6,0,1,5,0,1,0,0
2021-01-13,854.4099731445312,1.64996337890625,845.0,1.6099853515625,1,1,2700,125,7,11,22,3,18,0,2,8,18,1,7,6,4,1,0,1,5,0,0,8,0,0,1,2,10,8,17,6,0,0,26,6,33,1,1,7,5,0,2,4,0,1,0,0
2021-01-14,845.0,1.6099853515625,826.1599731445312,-25.84002685546875,0,1,2421,96,10,10,11,3,9,0,3,5,5,1,2,3,5,3,5,4,6,1,4,3,0,1,0,0,10,7,10,7,0,2,21,3,17,3,1,4,4,0,3,8,1,2,0,0
2021-01-19,844.5499877929688,6.75,850.4500122070312,-8.28997802734375,0,1,1402,73,12,2,8,10,12,0,1,2,12,0,3,2,9,1,2,1,3,0,0,0,0,1,1,0,2,12,10,2,0,0,18,6,13,0,2,4,2,1,1,2,0,1,0,0
2021-01-20,850.4500122070312,-8.28997802734375,844.989990234375,-10.010009765625,0,0,1460,91,7,7,7,0,8,0,2,0,10,1,3,4,2,0,5,4,7,0,2,5,0,0,3,3,6,8,16,3,0,2,16,4,15,1,2,0,2,1,0,2,0,1,0,0
2021-01-21,844.989990234375,-10.010009765625,846.6400146484375,12.33001708984375,1,0,1479,100,15,8,12,3,12,0,4,2,7,0,1,5,4,2,3,2,4,2,3,4,0,2,0,3,9,12,17,4,0,1,13,8,14,1,3,0,0,0,1,1,0,0,0,0
2021-01-22,846.6400146484375,12.33001708984375,880.7999877929688,25.79998779296875,1,1,1684,96,33,5,9,15,10,1,0,3,10,2,2,4,7,2,2,2,9,1,2,0,1,0,2,0,5,21,26,1,0,2,26,8,18,0,1,8,3,1,2,5,0,2,0,0
